,smiles
1230,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1
1231,O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3)o2)S1
1232,O=c1cc[nH]c(=S)[nH]1
1233,CCc1ccc(C=C2SC(=S)NC2=O)cc1
1234,CN1C2CC(O)CC1C1OC12
1235,Cn1cc[nH]c1=S
1236,O=C1NC(=O)C(=Cc2cccc(C(F)(F)F)c2)S1
1237,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1
1238,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1
1239,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
1240,CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O
1241,C=CCNC(N)=S
1242,COC(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc(C)cc1
1243,O=C(O)c1ccc(C=C2SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
1244,CC1NC(=O)NC1=O
1245,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)COc3ccc(Br)cc3Cl)cc2)n1
1246,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O
1247,CCN1C(=CC(C)=O)Sc2ccc(OC)cc21
1248,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1
1249,O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21
1250,CCCCOc1ccc(C(=O)Nc2ccc(F)cc2F)cc1
1251,NC1CC1c1ccccc1
1252,Nc1c2c(nc3ccccc13)CCCC2
1253,Nc1ccc(C(=O)O)c(O)c1
1254,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1
1255,O=c1nc(-c2ccc(C(F)(F)F)cc2)[nH]c2c1CSCC2
1256,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
1257,Cc1ccc(-n2sc(=O)n(Cc3ccc(F)cc3)c2=O)cc1
1258,CCc1cc(C(N)=S)ccn1
1259,O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl
1260,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2
1261,O=C(Nc1cc(C(F)(F)F)ccc1N1CCCCC1)c1ccncc1
1262,O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1
1263,NC(=O)c1sc(-c2ccsc2)cc1N
1264,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1
1265,N#CSc1cc(SC#N)c(N)nc1N
1266,CC(=O)c1cc([N+](=O)[O-])c(Sc2cccc(Cl)c2Cl)s1
1267,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S
1268,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
1269,N#CC(=C1SCC(c2ccc(Cl)cc2Cl)S1)n1ccnc1
1270,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
1271,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1
1272,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
1273,Cc1cccc(C#Cc2ccccc2)n1
1274,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
1275,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
1276,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
1277,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
1278,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC
1279,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1
1280,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
1281,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
1282,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
1283,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2
1284,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
1285,C#CCNC1CCc2ccccc21
1286,CCC(C(=O)O)C1CCC(C)C(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)C4(CCC(C)(C5CCC(O)(CC)C(C)O5)O4)O3)C(C)CC2C)O1
1287,COc1cc(-n2c(=S)[nH]c3ccccc3c2=O)c(Cl)cc1Cl
1288,CC(=O)NS(=O)(=O)c1ccc(N)cc1
1289,CCOC(=O)c1ccc(NC2CCCCC2)c(N)c1
1290,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1
1291,Cc1cc(NC(=O)Nc2ccc(N(C)C)cc2)c2cc(F)cc(F)c2n1
1292,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1
1293,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
1294,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1
1295,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
1296,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O
1297,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
1298,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2C(CO)C(C)C
1299,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1
1300,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
1301,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
1302,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
1303,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
1304,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
1305,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
1306,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
1307,Cc1cc(=O)oc2cc(O)ccc12
1308,O=c1ccc2ccc(O)c(O)c2o1
1309,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
1310,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
1311,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
1312,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
1313,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O
1314,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
1315,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
1316,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O
1317,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
1318,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
1319,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
1320,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
1321,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
1322,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
1323,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
1324,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
1325,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
1326,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
1327,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
1328,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O
1329,O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O
1330,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1
1331,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12
1332,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
1333,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
1334,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O
1335,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O
1336,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12
1337,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
1338,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
1339,CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
1340,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
1341,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O
1342,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1
1343,O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12
1344,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C
1345,O=C(CS(=O)Cc1ccco1)NCC=CCOc1cc(CN2CCCCC2)ccn1
1346,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
1347,CN(C)CCC(c1ccccc1)c1ccccn1
1348,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O
1349,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC
1350,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
1351,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
1352,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21
1353,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1
1354,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
1355,O=C(O)C=Cc1ccc(Cn2ccnc2)cc1
1356,O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1
1357,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O.CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O
1358,COc1cc(C=CC(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC
1359,CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
1360,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
1361,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CCN2CC(C)CC(C)C2)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC
1362,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
1363,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C
1364,c1ccc2c(Oc3nc(Nc4ccc(N5CCOCC5)cc4)c4ncn(C5CCCCC5)c4n3)cccc2c1
1365,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1
1366,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1OC
1367,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
1368,CNCC(O)c1cccc(O)c1
1369,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O
1370,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
1371,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.N=C(N)c1ccc(N=NNc2ccc(C(=N)N)cc2)cc1
1372,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO
1373,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
1374,CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1
1375,O=C1Nc2cc(Br)ccc2C1=C1N=c2ccccc2=C1NO
1376,O=C1NC(=O)C(=Cc2ccc3c(c2)OC(F)(F)O3)S1
1377,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
1378,Cc1cnc(C(=O)O)c[n+]1[O-]
1379,CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)CCc1ccccc1
1380,CCn1c(=O)c2c(nc(C=Cc3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
1381,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
1382,N=C(N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1
1383,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C
1384,CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c1ccccc1
1385,CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1
1386,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N(C)C
1388,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1
1389,CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
1390,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1
1391,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O
1392,COc1ccc(-c2oc3c(CC=C(C)C)c(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2O)cc1
1393,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O
1394,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1
1395,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
1396,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC
1397,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
1398,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12
1399,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
1400,CCOC(=O)c1ccc(N2NC(=O)C(=Cc3ccc([N+](=O)[O-])o3)C2=O)cc1
1401,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1
1402,Cc1ccc(S(=O)(=O)C=CC#N)cc1
1403,COC(=O)N=NC=C1C=[N+]([O-])c2ccccc2N1O
1404,O=C1C=CC(=C2NC(c3ccncc3)=C(c3ccc(F)cc3)N2)C=C1
1405,O=C(O)C1=CC(=NNc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O
1406,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=O
1407,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O
1408,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21
1409,CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)C(CSc1cccs1)C(=O)NO
1410,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
1411,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O
1412,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1
1413,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13
1414,COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC1=O
1415,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3CCC12C
1416,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
1417,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O
1418,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
1419,CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O
1420,CC(C)(C)C1=CC(=CC(C#N)=C(N)S)C=C(C(C)(C)C)C1=O
1421,O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1
1422,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1
1423,COc1ccnc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3C)c12
1424,NC(N)=NN=Cc1c(Cl)cccc1Cl
1425,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
1426,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1
1427,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12
1428,O=C1C=CC(=CNNC(=O)c2cc3ccccc3cc2O)C=C1O
1429,CC(NC(=O)c1ccccc1NC=C1C(=O)C=Cc2ccccc21)c1ccccc1
1430,O=C(C=Cc1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl
1431,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
1432,CCOc1ccccc1NN=C1C(=O)N(c2nc(-c3ccccc3)cs2)N=C1C
1433,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1
1434,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C3CCCC3)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
1435,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
1436,C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC
1437,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O
1438,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
1439,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
1440,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N
1441,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1
1442,O=C(c1ccc(OCCCc2cnc[nH]2)cc1)C1CC1
1443,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
1444,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
1445,CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C(=O)C(OC(C)=O)C(=C1C)C2(C)C
1446,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1
1447,O=C(O)C=Cc1ccc(Cn2ccnc2)cc1
1448,CC(C)(C)[N+]([O-])=Cc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O
1449,CCC1C(C)OC(O)(C(C)C(O)C(C)C2OC(=O)C=CC=CC(C)C(C(C)C(O)C(C)C3(O)CC(OC4CC(O)C(O)C(C)O4)C(CC)C(C)O3)OC(=O)C=CC=CC2C)CC1OC1CC(O)C(O)C(C)O1
1450,FC(F)(F)c1ccc(C=Cc2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
1451,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
1452,O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
1453,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C
1454,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1
1455,Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
1456,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O
1457,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
1458,Clc1ccc(NN=C(c2ccccc2)c2ccccn2)nc1
1459,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
1460,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1
1461,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1
1462,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(C(O)CCN)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O
1463,Cc1ccc(C(=O)N(CCCN)C(c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1
1464,C=CCC1=CC=CC(=CNNC(=O)CN2CCN(Cc3ccccc3)CC2)C1=O
1465,CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1
1466,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
1467,Cc1nn(-c2ccccc2)c(C)c1C=NN1CCN(Cc2ccccc2)CC1
1468,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O
1469,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1
1470,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O
1471,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
1472,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4
1473,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1
1474,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
1475,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2
1476,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OC(=O)C(C)(CO)CO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
1477,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
1478,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
1479,CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc1cccc(Cl)c1C#N
1480,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
1481,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
1482,C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O
1483,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
1484,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O
1485,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2
1486,CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1
1487,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
1488,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O
1489,CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1
1490,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N
1491,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21
1492,COc1ccc(CCC(=O)Nc2nc3ccc(Cl)cc3s2)cc1OC
1493,N#CC(=C(N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F
1494,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1
1495,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl
1496,O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1
1497,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12
1498,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
1499,O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1
